RowNum,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Species2
1,5.1,3.5,1.4,0.2,setosa,setosa
1,5.1,3.5,1.4,0.2,setosa,setosa
2,4.7,3.2,1.3,0.2,setosa,setosa
3,4.6,3.1,1.5,0.2,setosa,setosa
4,5,3.6,1.4,0.2,setosa,setosa
5,5.4,3.9,1.7,0.4,setosa,setosa
6,4.6,3.4,1.4,0.3,setosa,setosa
7,5,3.4,1.5,0.2,setosa,setosa
8,4.4,2.9,1.4,0.2,setosa,setosa
9,4.9,3.1,1.5,0.1,setosa,setosa
10,5.4,3.7,1.5,0.2,setosa,setosa
11,4.8,3.4,1.6,0.2,setosa,setosa
12,4.8,3,1.4,0.1,setosa,setosa
13,4.3,3,1.1,0.1,setosa,setosa
14,5.8,4,1.2,0.2,setosa,setosa
15,5.7,4.4,1.5,0.4,setosa,setosa
16,5.4,3.9,1.3,0.4,setosa,setosa
17,5.1,3.5,1.4,0.3,setosa,setosa
18,5.7,3.8,1.7,0.3,setosa,setosa
19,5.1,3.8,1.5,0.3,setosa,setosa
20,5.4,3.4,1.7,0.2,setosa,setosa
21,5.1,3.7,1.5,0.4,setosa,setosa
22,4.6,3.6,1,0.2,setosa,setosa
23,5.1,3.3,1.7,0.5,setosa,setosa
24,4.8,3.4,1.9,0.2,setosa,setosa
25,5,3,1.6,0.2,setosa,setosa
26,5,3.4,1.6,0.4,setosa,setosa
27,5.2,3.5,1.5,0.2,setosa,setosa
28,5.2,3.4,1.4,0.2,setosa,setosa
29,4.7,3.2,1.6,0.2,setosa,setosa
30,4.8,3.1,1.6,0.2,setosa,setosa
31,5.4,3.4,1.5,0.4,setosa,setosa
32,5.2,4.1,1.5,0.1,setosa,setosa
33,5.5,4.2,1.4,0.2,setosa,setosa
34,4.9,3.1,1.5,0.2,setosa,setosa
35,5,3.2,1.2,0.2,setosa,setosa
36,5.5,3.5,1.3,0.2,setosa,setosa
37,4.9,3.6,1.4,0.1,setosa,setosa
38,4.4,3,1.3,0.2,setosa,setosa
39,5.1,3.4,1.5,0.2,setosa,setosa
40,5,3.5,1.3,0.3,setosa,setosa
41,4.5,2.3,1.3,0.3,setosa,setosa
42,4.4,3.2,1.3,0.2,setosa,setosa
43,5,3.5,1.6,0.6,setosa,setosa
44,5.1,3.8,1.9,0.4,setosa,setosa
45,4.8,3,1.4,0.3,setosa,setosa
46,5.1,3.8,1.6,0.2,setosa,setosa
47,4.6,3.2,1.4,0.2,setosa,setosa
48,5.3,3.7,1.5,0.2,setosa,setosa
49,5,3.3,1.4,0.2,setosa,setosa
50,7,3.2,4.7,1.4,versicolor,versicolor
51,6.4,3.2,4.5,1.5,versicolor,versicolor
52,6.9,3.1,4.9,1.5,versicolor,versicolor
53,5.5,2.3,4,1.3,versicolor,versicolor
54,6.5,2.8,4.6,1.5,versicolor,versicolor
55,5.7,2.8,4.5,1.3,versicolor,versicolor
56,6.3,3.3,4.7,1.6,versicolor,versicolor
57,4.9,2.4,3.3,1,versicolor,versicolor
58,6.6,2.9,4.6,1.3,versicolor,versicolor
59,5.2,2.7,3.9,1.4,versicolor,versicolor
60,5,2,3.5,1,versicolor,versicolor
61,5.9,3,4.2,1.5,versicolor,versicolor
62,6,2.2,4,1,versicolor,versicolor
63,6.1,2.9,4.7,1.4,versicolor,versicolor
64,5.6,2.9,3.6,1.3,versicolor,versicolor
65,6.7,3.1,4.4,1.4,versicolor,versicolor
66,5.6,3,4.5,1.5,versicolor,versicolor
67,5.8,2.7,4.1,1,versicolor,versicolor
68,6.2,2.2,4.5,1.5,versicolor,versicolor
69,5.6,2.5,3.9,1.1,versicolor,versicolor
70,5.9,3.2,4.8,1.8,versicolor,versicolor
71,6.1,2.8,4,1.3,versicolor,versicolor
72,6.3,2.5,4.9,1.5,versicolor,versicolor
73,6.1,2.8,4.7,1.2,versicolor,versicolor
74,6.4,2.9,4.3,1.3,versicolor,versicolor
75,6.6,3,4.4,1.4,versicolor,versicolor
76,6.8,2.8,4.8,1.4,versicolor,versicolor
77,6.7,3,5,1.7,versicolor,versicolor
78,6,2.9,4.5,1.5,versicolor,versicolor
79,5.7,2.6,3.5,1,versicolor,versicolor
80,5.5,2.4,3.8,1.1,versicolor,versicolor
81,5.5,2.4,3.7,1,versicolor,versicolor
82,5.8,2.7,3.9,1.2,versicolor,versicolor
83,6,2.7,5.1,1.6,versicolor,versicolor
84,5.4,3,4.5,1.5,versicolor,versicolor
85,6,3.4,4.5,1.6,versicolor,versicolor
86,6.7,3.1,4.7,1.5,versicolor,versicolor
87,6.3,2.3,4.4,1.3,versicolor,versicolor
88,5.6,3,4.1,1.3,versicolor,versicolor
89,5.5,2.5,4,1.3,versicolor,versicolor
90,5.5,2.6,4.4,1.2,versicolor,versicolor
91,6.1,3,4.6,1.4,versicolor,versicolor
92,5.8,2.6,4,1.2,versicolor,versicolor
93,5,2.3,3.3,1,versicolor,versicolor
94,5.6,2.7,4.2,1.3,versicolor,versicolor
95,5.7,3,4.2,1.2,versicolor,versicolor
96,5.7,2.9,4.2,1.3,versicolor,versicolor
97,6.2,2.9,4.3,1.3,versicolor,versicolor
98,5.1,2.5,3,1.1,versicolor,versicolor
99,5.7,2.8,4.1,1.3,versicolor,versicolor
100,6.3,3.3,6,2.5,virginica,virginica
101,5.8,2.7,5.1,1.9,virginica,virginica
102,7.1,3,5.9,2.1,virginica,virginica
103,6.3,2.9,5.6,1.8,virginica,virginica
104,6.5,3,5.8,2.2,virginica,virginica
105,7.6,3,6.6,2.1,virginica,virginica
106,4.9,2.5,4.5,1.7,virginica,virginica
107,7.3,2.9,6.3,1.8,virginica,virginica
108,6.7,2.5,5.8,1.8,virginica,virginica
109,7.2,3.6,6.1,2.5,virginica,virginica
110,6.5,3.2,5.1,2,virginica,virginica
111,6.4,2.7,5.3,1.9,virginica,virginica
112,6.8,3,5.5,2.1,virginica,virginica
113,5.7,2.5,5,2,virginica,virginica
114,5.8,2.8,5.1,2.4,virginica,virginica
115,6.4,3.2,5.3,2.3,virginica,virginica
116,6.5,3,5.5,1.8,virginica,virginica
117,7.7,3.8,6.7,2.2,virginica,virginica
118,7.7,2.6,6.9,2.3,virginica,virginica
119,6,2.2,5,1.5,virginica,virginica
120,6.9,3.2,5.7,2.3,virginica,virginica
121,5.6,2.8,4.9,2,virginica,virginica
122,7.7,2.8,6.7,2,virginica,virginica
123,6.3,2.7,4.9,1.8,virginica,virginica
124,6.7,3.3,5.7,2.1,virginica,virginica
125,7.2,3.2,6,1.8,virginica,virginica
126,6.2,2.8,4.8,1.8,virginica,virginica
127,6.1,3,4.9,1.8,virginica,virginica
128,6.4,2.8,5.6,2.1,virginica,virginica
129,7.2,3,5.8,1.6,virginica,virginica
130,7.4,2.8,6.1,1.9,virginica,virginica
131,7.9,,6.4,2,virginica,virginica
132,6.4,,5.6,2.2,virginica,virginica
133,6.3,2.8,5.1,1.5,virginica,virginica
134,6.1,2.6,5.6,1.4,virginica,virginica
135,7.7,3,6.1,2.3,virginica,virginica
136,6.3,3.4,5.6,2.4,virginica,virginica
137,6.4,3.1,5.5,1.8,virginica,virginica
138,6,3,4.8,1.8,virginica,virginica
139,6.9,3.1,5.4,2.1,virginica,virginica
140,6.7,3.1,5.6,2.4,virginica,virginica
141,6.9,3.1,5.1,2.3,virginica,virginica
142,5.8,2.7,5.1,1.9,virginica,virginica
143,6.8,,5.9,2.3,virginica,virginica
144,6.7,3.3,5.7,2.5,virginica,virginica
145,6.7,3,5.2,2.3,virginica,virginica
145,6.7,3,5.2,2.3,virginica,virginica
147,6.3,,5,1.9,virginica,virginica
148,6.5,,5.2,2,virginica,virginica
149,T,3.4,5.4,2.3,virginica,virginica
150,5.9,3,1000,1.8,virginica,virginica
